,IB_Currency,IB_longName,IB_marketName,IB_isin,Origin_Name,Origin_Stock,Origin_Country,Origin_Currency
0,AUD,1ST GROUP LTD,1ST,AU0000001ST0,1ST GROUP LTD,1ST,Australia,AUD
1,USD,2U INC,NMS,US90214J1016,2U INC,TWOU,United States of America,USD
2,USD,3DX INDUSTRIES INC,CURRENT,US88556A1007,3DX INDUSTRIES INC,DDDX,United States of America,USD
3,USD,3M CO,MMM,US88579Y1010,3M CO,MMM,Mexico,
4,AUD,88 ENERGY LTD,88E,AU00000088E2,88 ENERGY LTD,88E,United Kingdom,GBP
5,USD,A CLASSIFIED AD INC,AQFD,US00089Y1091,A CLASSIFIED AD INC,AQFD,,USD
6,USD,A P MOLLER-MAERSK-B-UNSP ADR,LIMITED,US00202F1021,A P MOLLER-MAERSK-B-UNSP ADR,AMKBY,United States of America,USD
7,EUR,A TOUTE VITESSE-ATV,MLATV,FR0010050773,A TOUTE VITESSE-ATV,MLATV,France,EUR
8,USD,A-MARK PRECIOUS METALS INC,NMS,US00181T1079,A-MARK PRECIOUS METALS INC,AMRK,United States of America,USD
9,EUR,A-TEC INDUSTRIES AG,AKH,AT0000A1ZH55,A-TEC INDUSTRIES AG,AKH,,EUR
10,HKD,AAC TECHNOLOGIES HOLDINGS IN,2018,KYG2953R1149,AAC TECHNOLOGIES HOLDINGS IN,2018,Hong Kong,HKD
11,HKD,AAG ENERGY HOLDINGS LTD,2686,KYG000371040,AAG ENERGY HOLDINGS LTD,2686,Hong Kong,HKD
12,USD,AAON INC,NMS,US0003602069,AAON INC,AAON,United States of America,USD
13,USD,AAREAL BANK AG-UNSPON ADR,CURRENT,US00254K1088,AAREAL BANK AG-UNSPON ADR,AAALY,United States of America,USD
14,INR,AARON INDUSTRIES LTD,AARON,INE721Z01010,AARON INDUSTRIES LTD,AARON,India,INR
15,INR,AARTI DRUGS LIMITED,AARTIDRUG,INE767A01016,AARTI DRUGS LIMITED,AARTIDRUG,India,INR
16,INR,AARTI INDUSTRIES LIMITED,AARTIIND,INE769A01020,AARTI INDUSTRIES LIMITED,AARTIIND,India,INR
17,INR,AAVAS FINANCIERS LTD,AAVAS,INE216P01012,AAVAS FINANCIERS LTD,AAVAS,India,INR
18,GBP,AB DYNAMICS PLC,ASQ1,GB00B9GQVG73,AB DYNAMICS PLC,ABDP,United Kingdom,GBP
19,USD,AB INTERNATIONAL GROUP CORP,CURRENT,US00083U2024,AB INTERNATIONAL GROUP CORP,ABQQ,United States of America,USD
20,USD,AB&T FINANCIAL CORP,CURRENT,US00037W1062,AB&T FINANCIAL CORP,ABTO,United States of America,USD
21,AUD,ABACUS PROPERTY GROUP,ABP,AU000000ABP9,ABACUS PROPERTY GROUP,ABP,Australia,AUD
22,USD,ABAKAN INC,ABKI,US00258J1079,ABAKAN INC,ABKI,,USD
23,INR,ABAN OFFSHORE LIMITED,ABAN,INE421A01028,ABAN OFFSHORE LIMITED,ABAN,India,INR
24,USD,ABATTIS BIOCEUTICALS CORP,NOINFO,CA00258G1037,ABATTIS BIOCEUTICALS CORP,ATTBF,United States of America,USD
25,USD,ABAXIS INC,ABAX,US0025671050,ABAXIS INC,ABAX,,USD
26,INR,ABB INDIA LTD,ABB,INE117A01022,ABB INDIA LTD,ABB,India,INR
27,CAD,ABBA MEDIX GROUP INC,ABA,CA00258L1022,ABBA MEDIX GROUP INC,ABA,Canada,CAD
28,INR,ABBOTT INDIA LTD,ABBOTINDI,INE358A01014,ABBOTT INDIA LTD,ABBOTINDI,India,INR
29,USD,ABBVIE INC,ABBV,US00287Y1091,ABBVIE INC,ABBV,Mexico,USD
30,USD,ABBY INC,NOINFO,US00287T3086,ABBY INC,ABBY,United States of America,USD
31,JPY,ABC-MART INC,2670,JP3152740001,ABC-MART INC,2670,Japan,JPY
32,USD,ABCO ENERGY INC,CURRENT,US00287V4023,ABCO ENERGY INC,ABCE,United States of America,USD
33,USD,ABCOURT MINES INC -CL B,CURRENT,CA00288E3005,ABCOURT MINES INC -CL B,ABMBF,United States of America,USD
34,USD,ABEN RESOURCES LTD,CURRENT,CA00289T3064,ABEN RESOURCES LTD,ABNAF,United States of America,USD
35,USD,ABEONA THERAPEUTICS INC,SCM,US00289Y2063,ABEONA THERAPEUTICS INC,ABEO,United States of America,USD
36,USD,ABERDEEN GREATER CHINA FUND,GCH,US0030311015,ABERDEEN GREATER CHINA FUND,GCH,,USD
37,USD,ABERDEEN INDONESIA FUND INC,IF,US00305P1066,ABERDEEN INDONESIA FUND INC,IF,,USD
38,USD,ABERDEEN INTERNATIONAL INC.,CURRENT,CA0030691012,ABERDEEN INTERNATIONAL INC.,AABVF,United States of America,USD
39,USD,ABERDEEN ISRAEL FUND INC,ISL,US00301L1098,ABERDEEN ISRAEL FUND INC,ISL,,USD
40,GBP,ABERDEEN NEW THAI INV TR-ORD,ANW,GB0000059971,ABERDEEN NEW THAI INV TR-ORD,ANW,United Kingdom,GBP
41,GBP,ABERFORTH SMALLER COS-ORD,STMM,GB0000066554,ABERFORTH SMALLER COS-ORD,ASL,United Kingdom,GBP
42,GBP,ABERFORTH SPLIT LEVEL INCOME,SSQ3,GB00BYPBD519,ABERFORTH SPLIT LEVEL INCOME,ASIZ,United Kingdom,GBP
43,ILS,ABILITY INC,ABIL,KYG8789K1242,ABILITY INC,ABIL,Israel,ILS
44,USD,ABIOMED INC,NMS,US0036541003,ABIOMED INC,ABMD,Germany,
45,CAD,ABITIBI ROYALTIES INC,RZZ,CA0036841074,ABITIBI ROYALTIES INC,RZZ,Canada,CAD
46,USD,ABLE ENERGY INC,ABLE,US0037091024,ABLE ENERGY INC,ABLE,,USD
47,HKD,ABLE ENGINEERING HOLDINGS LT,1627,KYG0R8151046,ABLE ENGINEERING HOLDINGS LT,1627,Hong Kong,HKD
48,USD,ABM INDUSTRIES INC,ABM,US0009571003,ABM INDUSTRIES INC,ABM,United States of America,USD
49,EUR,ABN AMRO BANK NV-CVA,ABN,NL0011540547,ABN AMRO BANK NV-CVA,ABN,Netherlands,EUR
50,EUR,ABO GROUP ENVIRONMENT,THEB,BE0974278104,ABO GROUP ENVIRONMENT,ABO,Belgium,EUR
51,USD,ABOITIZ EQUITY VENTURES-ADR,LIMITED,US0037253061,ABOITIZ EQUITY VENTURES-ADR,ABTZY,United States of America,USD
52,SGD,ABR HOLDINGS LTD,533,SG0533000253,ABR HOLDINGS LTD,533,Singapore,SGD
53,USD,ABRAXAS PETROLEUM CORP,PRIMQX,US0038303048,ABRAXAS PETROLEUM CORP,AXAS,Germany,USD
54,ZAR,ABSA GROUP LTD,ABG,ZAE000255915,ABSA GROUP LTD,ABG,South Africa,ZAR
55,GBP,ABSOLUTE RETURN TRUST LTD,ABRL,GG00BCCW5806,ABSOLUTE RETURN TRUST LTD,ABRL,,GBP
56,SGD,ABTERRA LTD,L5I,SG2C12961455,ABTERRA LTD,L5I,Singapore,SGD
57,SGD,ABUNDANCE INTERNATIONAL LTD,541,SG1I02877971,ABUNDANCE INTERNATIONAL LTD,541,Singapore,SGD
58,USD,AC ENERGY INC,ACEN,US00389M1027,AC ENERGY INC,ACEN,,USD
59,USD,AC IMMUNE SA,NMS,CH0329023102,AC IMMUNE SA,ACIU,United States of America,USD
60,USD,ACACIA COMMUNICATIONS INC,ACIA,US00401C1080,ACACIA COMMUNICATIONS INC,ACIA,United States of America,USD
61,USD,ACACIA DIVERSIFIED HOLDINGS,NOINFO,US00389L1044,ACACIA DIVERSIFIED HOLDINGS,ACCA,United States of America,USD
62,GBP,ACACIA MINING PLC,ACA,GB00B61D2N63,ACACIA MINING PLC,ACA,,GBP
63,EUR,ACACIA PHARMA GROUP PLC,ACPH,GB00BYWF9Y76,ACACIA PHARMA GROUP PLC,ACPH,Belgium,EUR
64,USD,ACACIA RESEARCH CORP,NMS,US0038813079,ACACIA RESEARCH CORP,ACTG,United States of America,USD
65,AUD,ACADEMIES AUSTRALASIA GROUP,AKG,AU000000AKG9,ACADEMIES AUSTRALASIA GROUP,AKG,Australia,AUD
66,USD,ACADIA HEALTHCARE CO INC,NMS,US00404A1097,ACADIA HEALTHCARE CO INC,ACHC,United States of America,USD
67,USD,ACADIA PHARMACEUTICALS INC,NMS,US0042251084,ACADIA PHARMACEUTICALS INC,ACAD,United States of America,USD
68,USD,ACADIA REALTY TRUST,AKR,US0042391096,ACADIA REALTY TRUST,AKR,United States of America,USD
69,CAD,ACADIAN TIMBER CORP,ADN,CA0042721005,ACADIAN TIMBER CORP,ADN,Canada,CAD
70,USD,ACASTI PHARMA INC,SCM,CA00430K8730,ACASTI PHARMA INC,ACST,United States of America,USD
71,USD,ACCELERA INNOVATIONS INC,NOINFO,US00434W1053,ACCELERA INNOVATIONS INC,ACNV,United States of America,USD
72,USD,ACCELERON PHARMA INC,XLRN,US00434H1086,ACCELERON PHARMA INC,XLRN,United States of America,USD
73,CAD,ACCELEWARE LTD,AXE,CA00433V1085,ACCELEWARE LTD,AXE,Canada,CAD
74,EUR,ACCELL GROUP,ACCEL,NL0009767532,ACCELL GROUP,ACCEL,Netherlands,EUR
75,USD,ACCELPATH INC,ACLP,US00433U2096,ACCELPATH INC,ACLP,,USD
76,INR,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,INE793A01012,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,India,INR
77,AUD,ACCENT GROUP LTD,AX1,AU000000AX19,ACCENT GROUP LTD,AX1,Australia,AUD
78,USD,ACCENTIA BIOPHARMACEUTICALS,ABPI,US00430L1035,ACCENTIA BIOPHARMACEUTICALS,ABPI,,USD
79,JPY,ACCESS CO LTD,4813,JP3108060009,ACCESS CO LTD,4813,Japan,JPY
80,JPY,ACCESS GROUP HOLDINGS CO LTD,7042,JP3108190004,ACCESS GROUP HOLDINGS CO LTD,7042,Japan,JPY
81,USD,ACCESS-POWER & CO INC,LIMITED,US00431N1081,ACCESS-POWER & CO INC,ACCR,United States of America,USD
82,GBP,ACCESSO TECHNOLOGY GROUP PLC,AMSM,GB0001771426,ACCESSO TECHNOLOGY GROUP PLC,ACSO,United Kingdom,GBP
83,GBP,ACCIDENT EXCHANGE GROUP PLC,ACE,GB00B00LL325,ACCIDENT EXCHANGE GROUP PLC,ACE,,GBP
84,EUR,ACCIONA SA,ANA,ES0125220311,ACCIONA SA,ANA,Spain,EUR
85,USD,ACCO BRANDS CORP,ACCO,US00081T1088,ACCO BRANDS CORP,ACCO,United States of America,USD
86,MXN,ACCOR SA,ACCN,FR0000120404,ACCOR SA,ACCN,Mexico,MXN
87,CAD,ACCORD FINANCIAL CORP,ACD,CA00435L1085,ACCORD FINANCIAL CORP,ACD,Canada,CAD
88,JPY,ACCRETE INC,4395,JP3108180005,ACCRETE INC,4395,Japan,JPY
89,GBP,ACCROL GROUP HOLDINGS PLC,AMSM,GB00BZ6VT592,ACCROL GROUP HOLDINGS PLC,ACRL,United Kingdom,GBP
90,EUR,ACCSYS TECHNOLOGIES PLC,AXS,GB00BQQFX454,ACCSYS TECHNOLOGIES PLC,AXS,Netherlands,GBP
91,INR,ACCURACY SHIPPING LTD,ACCURACY,INE648Z01015,ACCURACY SHIPPING LTD,ACCURACY,India,INR
92,USD,ACCURAY INC,NMS,US0043971052,ACCURAY INC,ARAY,Germany,USD
93,USD,ACCURIDE CORP,ACW,US00439T2069,ACCURIDE CORP,ACW,,USD
94,INR,ACE INTEGRATED SOLUTIONS LTD,ACEINTEG,INE543V01017,ACE INTEGRATED SOLUTIONS LTD,ACEINTEG,India,INR
95,USD,ACELRX PHARMACEUTICALS INC,NMS,US00444T1007,ACELRX PHARMACEUTICALS INC,ACRX,United States of America,USD
96,USD,ACENCIA DEBT STRATEGIES LTD,ACD,GB00B0MSB420,ACENCIA DEBT STRATEGIES LTD,ACD,,USD
97,USD,ACER INC-SPONSORED GDR REG S,IOBE,US0044342055,ACER INC-SPONSORED GDR REG S,ACID,,USD
98,USD,ACER THERAPEUTICS INC,SCM,US00444P1084,ACER THERAPEUTICS INC,ACER,United States of America,USD
99,USD,ACERUS PHARMACEUTICALS CORP,ASPCF,CA00444G4051,ACERUS PHARMACEUTICALS CORP,ASPCF,United States of America,USD
100,SGD,ACESIAN PARTNERS LTD,5FW,SG1Q66923448,ACESIAN PARTNERS LTD,5FW,Singapore,SGD
101,TWD,ACHEM TECHNOLOGY CORP,1715,TW0001715001,ACHEM TECHNOLOGY CORP,1715,,TWD
102,JPY,ACHILLES CORP,5142,JP3108000005,ACHILLES CORP,5142,Japan,JPY
103,EUR,ACHILLION PHARMACEUTICALS,XETRA,US00448Q2012,ACHILLION PHARMACEUTICALS,ADA,Germany,EUR
104,USD,ACI GLOBAL CORP,ACGJ,US0008751044,ACI GLOBAL CORP,ACGJ,,USD
105,USD,ACI WORLDWIDE INC,NMS,US0044981019,ACI WORLDWIDE INC,ACIW,Germany,USD
106,EUR,ACKERMANS & VAN HAAREN,ACKB,BE0003764785,ACKERMANS & VAN HAAREN,ACKB,Belgium,EUR
107,USD,ACKROO INC,CURRENT,CA00461T2074,ACKROO INC,AKRFF,United States of America,USD
108,USD,ACLARIS THERAPEUTICS INC,NMS,US00461U1051,ACLARIS THERAPEUTICS INC,ACRS,United States of America,USD
109,USD,ACM RESEARCH INC-CLASS A,NMS,US00108J1097,ACM RESEARCH INC-CLASS A,ACMR,United States of America,USD
110,USD,ACME UNITED CORP,ACU,US0048161048,ACME UNITED CORP,ACU,United States of America,USD
111,JPY,ACMOS INC,6888,JP3108100003,ACMOS INC,6888,Japan,JPY
112,USD,ACNB CORP,SCM,US0008681092,ACNB CORP,ACNB,United States of America,USD
113,JPY,ACOM CO LTD,8572,JP3108600002,ACOM CO LTD,8572,Japan,JPY
114,AUD,ACONEX LTD,ACX,AU000000ACX1,ACONEX LTD,ACX,,AUD
115,USD,ACORDA THERAPEUTICS INC,NMS,US00484M6012,ACORDA THERAPEUTICS INC,ACOR,Germany,USD
116,AUD,ACORN CAPITAL INVESTMENT FUN,ACQ,AU000000ACQ5,ACORN CAPITAL INVESTMENT FUN,ACQ,Australia,AUD
117,USD,ACORN ENERGY INC,ACFN,US0048481073,ACORN ENERGY INC,ACFN,United States of America,USD
118,USD,ACORN INTERNATIONAL INC-ADR,ATV,US0048542049,ACORN INTERNATIONAL INC-ADR,ATV,United States of America,USD
119,USD,ACRE REALTY INVESTORS INC,AIII,US00489F1066,ACRE REALTY INVESTORS INC,AIII,United States of America,USD
120,USD,ACREAGE HOLDINGS INC-SUB,ACRGF,CA00489Y4022,ACREAGE HOLDINGS INC-SUB,ACRGF,United States of America,USD
121,AUD,ACROW FORMWORK AND CONSTRUCT,ACF,AU0000006124,ACROW FORMWORK AND CONSTRUCT,ACF,Australia,AUD
122,EUR,ACTELION LTD-REG,ACT,CH0010532478,ACTELION LTD-REG,ACT,,EUR
123,SEK,ACTIC GROUP AB,ATIC,SE0009269467,ACTIC GROUP AB,ATIC,Sweden,SEK
124,USD,ACTINIUM PHARMACEUTICALS INC,ATNM,US00507W2061,ACTINIUM PHARMACEUTICALS INC,ATNM,United States of America,USD
125,AUD,ACTINOGEN MEDICAL LTD,ACW,AU000000ACW3,ACTINOGEN MEDICAL LTD,ACW,Australia,AUD
126,INR,ACTION CONSTRUCTION EQUIPMEN,ACE,INE731H01025,ACTION CONSTRUCTION EQUIPMEN,ACE,India,INR
127,GBP,ACTIVE ENERGY GROUP PLC,ASQ1,GB00BPG7NS80,ACTIVE ENERGY GROUP PLC,AEG,United Kingdom,GBP
128,USD,ACTIVECARE INC,ACARQ,US0050573023,ACTIVECARE INC,ACARQ,,USD
129,JPY,ACTIVIA PROPERTIES INC,3279,JP3047490002,ACTIVIA PROPERTIES INC,3279,Japan,JPY
130,USD,ACTIVISION BLIZZARD INC,NMS,US00507V1098,ACTIVISION BLIZZARD INC,ATVI,Mexico,
131,GBP,ACTUAL EXPERIENCE PLC,ASQ1,GB00BJ05QC14,ACTUAL EXPERIENCE PLC,ACT,United Kingdom,GBP
132,USD,ACUITY BRANDS INC,AYI,US00508Y1029,ACUITY BRANDS INC,AYI,United States of America,
133,CAD,ACUITYADS HOLDING INC,AT,CA00510L1067,ACUITYADS HOLDING INC,AT,Canada,CAD
134,USD,ACURA PHARMACEUTICALS INC,LIMITED,US00509L8028,ACURA PHARMACEUTICALS INC,ACUR,United States of America,USD
135,USD,ACUSHNET HOLDINGS CORP,GOLF,US0050981085,ACUSHNET HOLDINGS CORP,GOLF,United States of America,USD
136,USD,ACUSPHERE INC,NOINFO,US00511R8549,ACUSPHERE INC,ACUS,United States of America,USD
137,USD,AD SYSTEMS COMMUNICATIONS IN,ADSYQ,US00515Q1004,AD SYSTEMS COMMUNICATIONS IN,ADSYQ,United States of America,USD
138,AUD,ADACEL TECHNOLOGIES LIMITED,ADA,AU000000ADA7,ADACEL TECHNOLOGIES LIMITED,ADA,Australia,AUD
139,AUD,ADAIRS LTD,ADH,AU000000ADH2,ADAIRS LTD,ADH,Australia,AUD
140,AUD,ADALTA LTD,1AD,AU0000001AD2,ADALTA LTD,1AD,Australia,AUD
141,CNH,ADAMA LTD-A,000553,CNE0000004V0,ADAMA LTD-A,000553,China,CNH
142,USD,ADAMA TECHNOLOGIES CORP,ADAC,US00547Q3002,ADAMA TECHNOLOGIES CORP,ADAC,,USD
143,USD,ADAMAS PHARMACEUTICALS INC,ADMS,US00548A1060,ADAMAS PHARMACEUTICALS INC,ADMS,United States of America,USD
144,CAD,ADAMERA MINERALS CORP,ADZ,CA00547Y1051,ADAMERA MINERALS CORP,ADZ,Canada,CAD
145,USD,ADAMIS PHARMACEUTICALS CORP,SCM,US00547W2089,ADAMIS PHARMACEUTICALS CORP,ADMP,United States of America,USD
146,USD,ADAMS NATURAL RESOURCES FUND,PEO,US00548F1057,ADAMS NATURAL RESOURCES FUND,PEO,United States of America,USD
147,GBP,ADAMS PLC,ASQ1,IM00B986V543,ADAMS PLC,ADA,United Kingdom,GBP
148,INR,ADANI ENTERPRISES LTD,ADANIENT,INE423A01024,ADANI ENTERPRISES LTD,ADANIENT,India,INR
149,INR,ADANI GREEN ENERGY LTD,ADANIGREE,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREE,India,INR
150,INR,ADANI PORTS AND SPECIAL ECON,ADANIPORT,INE742F01042,ADANI PORTS AND SPECIAL ECON,ADANIPORT,India,INR
151,INR,ADANI POWER LIMITED,ADANIPOWE,INE814H01011,ADANI POWER LIMITED,ADANIPOWE,India,INR
152,INR,ADANI TRANSMISSION LTD,ADANITRAN,INE931S01010,ADANI TRANSMISSION LTD,ADANITRAN,India,INR
153,USD,ADAPTIMMUNE THERAPEUTICS-ADR,NMS,US00653A1079,ADAPTIMMUNE THERAPEUTICS-ADR,ADAP,United States of America,USD
154,USD,ADAPTIVE AD SYSTEMS INC,CURRENT,US00650A1007,ADAPTIVE AD SYSTEMS INC,AATV,United States of America,USD
155,USD,ADAPTIVE BIOTECHNOLOGIES,NMS,US00650F1093,ADAPTIVE BIOTECHNOLOGIES,ADPT,United States of America,USD
156,USD,ADAPTIVE MEDIAS INC,NOINFO,US00652J2087,ADAPTIVE MEDIAS INC,ADTM,United States of America,USD
157,JPY,ADASTRIA CO LTD,2685,JP3856000009,ADASTRIA CO LTD,2685,Japan,JPY
158,USD,ADCARE HEALTH SYSTEMS INC,ADK,US00650W3007,ADCARE HEALTH SYSTEMS INC,ADK,,USD
159,CAD,ADCORE INC,ADCO,CA00654B1040,ADCORE INC,ADCO,Canada,CAD
160,USD,ADDENTAX GROUP CORP,CURRENT,US00653L2025,ADDENTAX GROUP CORP,ATXG,United States of America,USD
161,EUR,ADDEX THERAPEUTICS LTD,XETRA,CH0029850754,ADDEX THERAPEUTICS LTD,APE,Germany,EUR
162,EUR,ADDIKO BANK AG,XETRA,AT000ADDIKO0,ADDIKO BANK AG,ADKO,Austria,EUR
163,CNH,ADDSINO CO LTD -A,000547,CNE000000DM5,ADDSINO CO LTD -A,000547,China,CNH
164,USD,ADDUS HOMECARE CORP,NMS,US0067391062,ADDUS HOMECARE CORP,ADUS,United States of America,USD
165,SGD,ADDVALUE TECHNOLOGIES LTD,A31,SG1I67883666,ADDVALUE TECHNOLOGIES LTD,A31,Singapore,SGD
166,EUR,ADECCO GROUP AG-REG,XETRA,CH0012138605,ADECCO GROUP AG-REG,ADI1,Germany,EUR
167,JPY,ADEKA CORP,4401,JP3114800000,ADEKA CORP,4401,Japan,JPY
168,AUD,ADELAIDE-ASSET BACK YIELD TR,AYT,AU000000AYT3,ADELAIDE-ASSET BACK YIELD TR,AYT,,AUD
169,USD,ADEPTUS HEALTH INC-CLASS A,ADPTQ,US0068551003,ADEPTUS HEALTH INC-CLASS A,ADPTQ,,USD
170,USD,ADESTO TECHNOLOGIES CORP,IOTS,US00687D1019,ADESTO TECHNOLOGIES CORP,IOTS,,USD
171,CAD,ADEX MINING INC,ADE,CA0069032070,ADEX MINING INC,ADE,Canada,CAD
172,INR,ADF FOODS LTD,ADFFOODS,INE982B01019,ADF FOODS LTD,ADFFOODS,India,INR
173,CAD,ADF GROUP INC,DRX,CA00089N1033,ADF GROUP INC,DRX,Canada,CAD
174,USD,ADHERA THERAPEUTICS INC,CURRENT,US00687E1091,ADHERA THERAPEUTICS INC,ATRX,United States of America,USD
175,AUD,ADHERIUM LTD,ADR,AU000000ADR1,ADHERIUM LTD,ADR,Australia,AUD
176,INR,ADHUNIK METALIKS LTD,ADHUNIK,INE400H01019,ADHUNIK METALIKS LTD,ADHUNIK,,INR
177,USD,ADIAL PHARMACEUTICALS INC,SCM,US00688A1060,ADIAL PHARMACEUTICALS INC,ADIL,United States of America,USD
178,MXN,ADIDAS AG,ADSN,DE000A1EWWW0,ADIDAS AG,ADSN,Mexico,MXN
179,USD,ADIDAS AG-SPONSORED ADR,INTPREMQX,US00687A1079,ADIDAS AG-SPONSORED ADR,ADDYY,United States of America,USD
180,USD,ADIENT PLC,ADNT,IE00BD845X29,ADIENT PLC,ADNT,United States of America,
181,USD,ADIRONDACK TRUST CO SARATOGA,CURRENT,US0070141033,ADIRONDACK TRUST CO SARATOGA,ADKT,United States of America,USD
182,INR,ADITYA BIRLA CAPITAL LIMITED,ABCAPITAL,INE674K01013,ADITYA BIRLA CAPITAL LIMITED,ABCAPITAL,India,INR
183,INR,ADITYA BIRLA MONEY LTD,BIRLAMONE,INE865C01022,ADITYA BIRLA MONEY LTD,BIRLAMONE,India,INR
184,USD,ADMA BIOLOGICS INC,NMS,US0008991046,ADMA BIOLOGICS INC,ADMA,United States of America,USD
185,USD,ADOBE INC,NMS,US00724F1012,ADOBE INC,ADBE,United States of America,
186,INR,ADOR WELDING LTD,ADORWELD,INE045A01017,ADOR WELDING LTD,ADORWELD,India,INR
187,MXN,ADP,ADPN,FR0010340141,ADP,ADPN,Mexico,MXN
188,AUD,ADRIATIC METALS PLC-CDI,ADT,AU0000004772,ADRIATIC METALS PLC-CDI,ADT,Australia,AUD
189,INR,ADROIT INFOTECH LTD,ADROITINF,INE737B01033,ADROIT INFOTECH LTD,ADROITINF,India,INR
190,USD,ADSTAR INC,ADST,US00737P1049,ADSTAR INC,ADST,,USD
191,USD,ADTALEM GLOBAL EDUCATION INC,ATGE,US00737L1035,ADTALEM GLOBAL EDUCATION INC,ATGE,United States of America,
192,JPY,ADTEC PLASMA TECHNOLOGY CO,6668,JP3122010006,ADTEC PLASMA TECHNOLOGY CO,6668,Japan,JPY
193,CHF,ADVAL TECH HOLDING AG-REG,ADVN,CH0008967926,ADVAL TECH HOLDING AG-REG,ADVN,Switzerland,CHF
194,USD,ADVANCE AUTO PARTS INC,AAP,US00751Y1064,ADVANCE AUTO PARTS INC,AAP,Mexico,
195,JPY,ADVANCED MEDIA INC,3773,JP3122150000,ADVANCED MEDIA INC,3773,Japan,JPY
196,USD,ADVANCED MICRO DEVICES,NMS,US0079031078,ADVANCED MICRO DEVICES,AMD,United States of America,
197,SGD,ADVANCER GLOBAL LTD,43Q,SG1CJ7000006,ADVANCER GLOBAL LTD,43Q,Singapore,SGD
198,JPY,ADVANEX INC,5998,JP3213400009,ADVANEX INC,5998,Japan,JPY
199,INR,ADVANI HOTELS & RES (INDIA),ADVANIHOT,INE199C01026,ADVANI HOTELS & RES (INDIA),ADVANIHOT,India,INR
200,USD,ADVANSIX INC,ASIX,US00773T1016,ADVANSIX INC,ASIX,Mexico,
201,USD,ADVANTAGE LITHIUM CORP,AVLIF,CA00782P1080,ADVANTAGE LITHIUM CORP,AVLIF,Germany,CAD
202,JPY,ADVANTAGE RISK MANAGEMENT CO,8769,JP3122410008,ADVANTAGE RISK MANAGEMENT CO,8769,Japan,JPY
203,CAD,ADVANTAGEWON OIL CORP,AOC,CA00775L2057,ADVANTAGEWON OIL CORP,AOC,Canada,CAD
204,USD,ADVANTEGO CORP,NOINFO,US00775N1028,ADVANTEGO CORP,ADGO,United States of America,USD
205,JPY,ADVANTEST CORP,6857,JP3122400009,ADVANTEST CORP,6857,Japan,JPY
206,USD,ADVANTIS CORP,ADVT,US0076141003,ADVANTIS CORP,ADVT,United States of America,USD
207,USD,ADVAXIS INC,PRIMQX,US0076244062,ADVAXIS INC,ADXS,United States of America,USD
208,JPY,ADVENTURE INC,6030,JP3122380003,ADVENTURE INC,6030,Japan,JPY
209,CAD,ADVENTUS MINING CORP,ADZN,CA00791E1025,ADVENTUS MINING CORP,ADZN,Canada,CAD
210,EUR,ADVEO GROUP INTERNATIONAL SA,ADV2,ES0182045312,ADVEO GROUP INTERNATIONAL SA,ADV2,,EUR
211,USD,ADVERUM BIOTECHNOLOGIES INC,NMS,US00773U1088,ADVERUM BIOTECHNOLOGIES INC,ADVM,United States of America,USD
212,USD,ADVISORSHARES DORSEY WRIGHT,NMS,US00768Y2063,ADVISORSHARES DORSEY WRIGHT,AADR,,USD
213,USD,ADVSRSHRS NEW TECH AND MEDIA,FNG,US00768Y5520,ADVSRSHRS NEW TECH AND MEDIA,FNG,,USD
214,ZAR,ADVTECH LTD,ADH,ZAE000031035,ADVTECH LTD,ADH,South Africa,ZAR
215,JPY,ADWAYS INC,2489,JP3121970002,ADWAYS INC,2489,Japan,JPY
216,EUR,ADX ENERGY LTD,XETRA,AU000000ADX9,ADX ENERGY LTD,GHU,Germany,EUR
217,USD,ADYNXX INC,NOINFO,US00784D1037,ADYNXX INC,ADYX,United States of America,USD
218,CNH,AECC AERO-ENGINE CONTROL-A,000738,CNE000000RM5,AECC AERO-ENGINE CONTROL-A,000738,China,CNH
219,USD,AECOM,ACM,US00766T1007,AECOM,ACM,United States of America,USD
220,AUD,AED OIL LTD,AED,AU000000AED9,AED OIL LTD,AED,,AUD
221,USD,AEGION CORP,AEGN,US00770F1049,AEGION CORP,AEGN,United States of America,USD
222,INR,AEGIS LOGISTICS LTD,AEGISCHEM,INE208C01025,AEGIS LOGISTICS LTD,AEGISCHEM,India,INR
223,USD,AEGLEA BIOTHERAPEUTICS INC,NMS,US00773J1034,AEGLEA BIOTHERAPEUTICS INC,AGLE,United States of America,USD
224,SGD,AEM HOLDINGS LTD,AWX,SG1BA1000003,AEM HOLDINGS LTD,AWX,Singapore,SGD
225,USD,AEMETIS INC,NMS,US00770K2024,AEMETIS INC,AMTX,United States of America,USD
226,USD,AEOLUS PHARMACEUTICALS INC,NOINFO,US00765G1094,AEOLUS PHARMACEUTICALS INC,AOLS,United States of America,USD
227,CNH,AEOLUS TYRE CO LTD-A,600469,CNE000001G46,AEOLUS TYRE CO LTD-A,600469,China,CNH
228,JPY,AEON FINANCIAL SERVICE CO LT,8570,JP3131400008,AEON FINANCIAL SERVICE CO LT,8570,Japan,JPY
229,USD,AEON GLOBAL HEALTH CORP,AGHC,US00774U1079,AEON GLOBAL HEALTH CORP,AGHC,United States of America,USD
