DATE1,V2Tone,FinalThemes,DATE2,Li2CO3 56.5%,Li2CO3 99%,Li2CO3 99.5%,LiOH 56.5%,Lithium Mineral 99%
2016/1/19,-0.866021396,"TAX_ETHNICITY,ENV_OIL,MANMADE_DISASTER_IMPLIED,ENV_MINING,SLFID_MINERAL_RESOURCES,PUBLIC_TRANSPORT,MILITARY,LEGISLATION,DELAY,GENERAL_GOVERNMENT,SHORTAGE",2016/1/28,,0.038022814,,0.042194093,
2016/1/19,1.826484018,"TAX_DISEASE,ENV_MINING,MANMADE_DISASTER_IMPLIED,SHORTAGE,TAX_ETHNICITY,ENV_GREEN,ENV_COAL,ENV_NATURALGAS,ENV_HYDRO,ENV_SOLAR",2016/1/29,,0,,0,
2016/1/19,-1.089761973,"TAX_ETHNICITY,ENV_OIL,MANMADE_DISASTER_IMPLIED,ENV_MINING,SLFID_MINERAL_RESOURCES,PUBLIC_TRANSPORT,MILITARY,LEGISLATION,DELAY,GENERAL_GOVERNMENT,SHORTAGE",2016/2/1,,0,,0,
2016/1/19,-0.869787669,"TAX_ETHNICITY,ENV_OIL,MANMADE_DISASTER_IMPLIED,ENV_MINING,SLFID_MINERAL_RESOURCES,PUBLIC_TRANSPORT,MILITARY,LEGISLATION,DELAY,GENERAL_GOVERNMENT,SHORTAGE",2016/2/2,,0,,0,
2016/1/20,-0.258933195,"BULLYING,MANMADE_DISASTER_IMPLIED,MARITIME_INCIDENT,MARITIME,SHORTAGE",2016/2/3,,0,,0,
2016/1/20,1.380368098,"TAX_DISEASE,ENV_MINING,MANMADE_DISASTER_IMPLIED,ECON_STOCKMARKET,SHORTAGE,TAX_ETHNICITY,ENV_GREEN,ENV_COAL,ENV_NATURALGAS,ENV_HYDRO,ENV_SOLAR",2016/2/4,,0,,0,
2016/1/20,-0.796812749,"ENV_GREEN,ENV_SOLAR,GENERAL_GOVERNMENT,ENV_OIL,TAX_ETHNICITY,EDUCATION",2016/2/5,,0,,0,
2016/1/20,-0.782778865,"ENV_GREEN,ENV_SOLAR,GENERAL_GOVERNMENT,ENV_OIL,TAX_ETHNICITY,EDUCATION",2016/2/15,,0,,0,
2016/1/21,0.503524673,"TAX_ETHNICITY,GENERAL_GOVERNMENT,PUBLIC_TRANSPORT,ENV_MINING,SLFID_MINERAL_RESOURCES,URBAN,SEIZE,NEGOTIATIONS,NEW_CONSTRUCTION",2016/2/16,,0,,0,
2016/1/21,0.446428571,"TAX_ETHNICITY,GENERAL_GOVERNMENT,PUBLIC_TRANSPORT,ENV_MINING,SLFID_MINERAL_RESOURCES,URBAN,SEIZE,NEGOTIATIONS,NEW_CONSTRUCTION",2016/2/17,,0.036630037,,0.04048583,
2016/1/21,0.500500501,"TAX_ETHNICITY,GENERAL_GOVERNMENT,PUBLIC_TRANSPORT,ENV_MINING,SLFID_MINERAL_RESOURCES,URBAN,SEIZE,NEGOTIATIONS,NEW_CONSTRUCTION",2016/2/18,,0,,0,
2016/1/21,0.503018109,"TAX_ETHNICITY,GENERAL_GOVERNMENT,PUBLIC_TRANSPORT,ENV_MINING,SLFID_MINERAL_RESOURCES,URBAN,SEIZE,NEGOTIATIONS,NEW_CONSTRUCTION",2016/2/19,,0,,0,
2016/1/21,0.488758553,"TAX_ETHNICITY,GENERAL_GOVERNMENT,PUBLIC_TRANSPORT,ENV_MINING,SLFID_MINERAL_RESOURCES,URBAN,SEIZE,NEGOTIATIONS,NEW_CONSTRUCTION",2016/2/22,,0,,0,
2016/1/21,0.212765957,ENV_MINING,2016/2/23,,0,,0,
2016/1/21,0.578034682,"ENV_OIL,ENV_SOLAR,TAX_ETHNICITY,ENV_MINING",2016/2/24,,0,,0,
2016/1/21,0.435729847,"ECON_STOCKMARKET,ENV_MINING,TAX_ETHNICITY",2016/2/25,,0,,0,
2016/1/22,3.757575758,"TAX_ETHNICITY,ALLIANCE",2016/2/26,,0,,0,
2016/1/22,0.342465753,"TAX_ETHNICITY,PUBLIC_TRANSPORT,SEIZE,NEGOTIATIONS,NEW_CONSTRUCTION,ENV_MINING,SLFID_MINERAL_RESOURCES,URBAN",2016/2/29,,0,,0,
2016/1/22,0.337837838,"TAX_ETHNICITY,PUBLIC_TRANSPORT,SEIZE,NEGOTIATIONS,NEW_CONSTRUCTION,ENV_MINING,SLFID_MINERAL_RESOURCES,URBAN",2016/3/1,,0,,0,
2016/1/24,-3.512396694,"SCIENCE,EDUCATION,MANMADE_DISASTER_IMPLIED,ALLIANCE,TAX_TERROR_GROUP,JIHAD,TERROR,TAX_ETHNICITY,SOC_SUICIDE,GENERAL_GOVERNMENT,ENV_OIL,KIDNAP,KILL,GENERAL_HEALTH,MEDICAL,TAX_DISEASE,SECURITY_SERVICES,BAN,ARREST,SOC_GENERALCRIME,PROTEST,MOVEMENT_GENERAL,MOVEMENT_SOCIAL,MOVEMENT_OTHER,BORDER,REBELLION,INSURGENCY,REFUGEES,RELATIONS,SANCTIONS,REBELS,SOC_MASSMIGRATION,MILITARY",2016/3/2,,0.068259386,,0.074906367,
2016/1/25,-0.788954635,"ENV_GREEN,ENV_SOLAR,GENERAL_GOVERNMENT,ENV_OIL,TAX_ETHNICITY,EDUCATION",2016/3/3,,0,,0,
2016/1/25,0.864553314,"GENERAL_GOVERNMENT,ENV_SOLAR,FUELPRICES",2016/3/4,,0.0330033,,0.036101083,
2016/1/25,0.862068966,"GENERAL_GOVERNMENT,ENV_SOLAR,FUELPRICES",2016/3/7,,0,,0,
2016/1/26,0.898203593,"GENERAL_GOVERNMENT,ENV_SOLAR,FUELPRICES",2016/3/8,,0,,0,
2016/1/26,0.92936803,"PROTEST,SCIENCE,GENERAL_GOVERNMENT,ENV_SOLAR,EDUCATION,ENV_COAL,ENV_MINING,ENV_GREEN",2016/3/9,,0,,0,
2016/1/27,-0.4048583,"SCIENCE,TAX_ETHNICITY,ENV_GREEN",2016/3/10,,0.031948882,,0.034843206,
2016/1/27,2.205882353,"SCIENCE,TAX_WEAPONS,TAX_FOODSTAPLES",2016/3/11,,0.030959752,,0.052805281,
2016/1/28,1.428571429,"TAX_ETHNICITY,GENERAL_GOVERNMENT,ENV_OIL,ENV_NATURALGAS",2016/3/14,,0,,0,
2016/1/28,2.621722846,ENV_MINING,2016/3/15,,0,,0,
2016/1/29,1.570680628,RATIFY,2016/3/16,,0,,0,
2016/1/30,-1.258178158,"TAX_ETHNICITY,GENERAL_GOVERNMENT,MANMADE_DISASTER_IMPLIED,GENERAL_HEALTH,MEDICAL,ENV_GREEN,ENV_SOLAR,ENV_CLIMATECHANGE,ETH_INDIGINOUS,EVACUATION,URBAN,SECURITY_SERVICES,ARREST,SOC_GENERALCRIME,LEGISLATION,SOC_SUICIDE,CORRUPTION,EDUCATION,AGRICULTURE,HARASSMENT,KILL,ECON_INTEREST_RATES,ENV_OIL",2016/3/17,,0,,0,
2016/1/31,-5.046583851,"CORRUPTION,TAX_ETHNICITY,NATURAL_DISASTER,ELECTION,ECON_TAXATION,ECON_BANKRUPTCY,ENV_GREEN,ORGANIZED_CRIME,MANMADE_DISASTER_IMPLIED,ENV_MINING,CRIME_CARTELS,ENV_SOLAR,KILL,ARMEDCONFLICT,ECON_STOCKMARKET,EDUCATION,GENERAL_GOVERNMENT,ECON_MONOPOLY,SOC_GENERALCRIME,RAPE,DELAY",2016/3/18,,0,,0,
2016/2/1,-2.941176471,"SCIENCE,GENERAL_GOVERNMENT,NATURAL_DISASTER",2016/3/21,,0,,0,
2016/2/2,1.761006289,"ECON_STOCKMARKET,MANMADE_DISASTER_IMPLIED,TAX_ETHNICITY,GENERAL_GOVERNMENT,ENV_SOLAR,ETH_INDIGINOUS,SLFID_ECONOMIC_DEVELOPMENT,KILL,AGRICULTURE",2016/3/22,,0,,0,
2016/2/2,1.818181818,"ECON_STOCKMARKET,MANMADE_DISASTER_IMPLIED,TAX_ETHNICITY,GENERAL_GOVERNMENT,ENV_SOLAR,ETH_INDIGINOUS,SLFID_ECONOMIC_DEVELOPMENT,KILL,AGRICULTURE",2016/3/23,,0,,0,
2016/2/2,1.767676768,"MANMADE_DISASTER_IMPLIED,TAX_ETHNICITY,GENERAL_GOVERNMENT,ENV_SOLAR,ETH_INDIGINOUS,SLFID_ECONOMIC_DEVELOPMENT,KILL,AGRICULTURE",2016/3/24,,0,,0,
2016/2/2,3.578947368,"ECON_STOCKMARKET,MANMADE_DISASTER_IMPLIED,TAX_ETHNICITY,GENERAL_GOVERNMENT,ENV_SOLAR,ETH_INDIGINOUS,SLFID_ECONOMIC_DEVELOPMENT,KILL",2016/3/25,,0,,0,
2016/2/2,1.815823606,"ECON_STOCKMARKET,MANMADE_DISASTER_IMPLIED,TAX_ETHNICITY,GENERAL_GOVERNMENT,ENV_SOLAR,ETH_INDIGINOUS,SLFID_ECONOMIC_DEVELOPMENT,KILL,AGRICULTURE",2016/3/28,,0,,0,
2016/2/2,1.834862385,"ECON_STOCKMARKET,MANMADE_DISASTER_IMPLIED,TAX_ETHNICITY,GENERAL_GOVERNMENT,ENV_SOLAR,ETH_INDIGINOUS,SLFID_ECONOMIC_DEVELOPMENT,KILL,AGRICULTURE",2016/3/29,,0,,0,
2016/2/2,2.620087336,"TAX_ETHNICITY,GENERAL_GOVERNMENT,ENV_SOLAR",2016/3/30,,0,,0,
2016/2/2,1.041666667,"GENERAL_GOVERNMENT,TAX_ETHNICITY",2016/3/31,,0,,0,
2016/2/2,-1.602481261,"MANMADE_DISASTER_IMPLIED,ENV_GREEN,ENV_SOLAR,GENERAL_GOVERNMENT,ENV_OIL,TAX_ETHNICITY,EDUCATION,GENERAL_HEALTH,MEDICAL,ECON_TAXATION,URBAN,FUELPRICES,LEGALIZE,ECON_SUBSIDIES,LEGISLATION,MANMADE_DISASTER,PROTEST,ENV_MINING,NEGOTIATIONS,ENV_BIOFUEL,MILITARY,TAX_WEAPONS,MARITIME_INCIDENT,MARITIME,ENV_CLIMATECHANGE",2016/4/1,,0,,0,
2016/2/2,2.264150943,"GENERAL_GOVERNMENT,ENV_SOLAR,TAX_ETHNICITY",2016/4/5,,0,,0,
2016/2/2,0.91954023,"ECON_STOCKMARKET,TAX_ETHNICITY,GENERAL_GOVERNMENT,WATER_SECURITY,AGRICULTURE",2016/4/6,,0,,0,
2016/2/2,2.06185567,"GENERAL_GOVERNMENT,ENV_SOLAR,TAX_ETHNICITY",2016/4/7,,0,,0,
2016/2/2,-0.558001116,"MANMADE_DISASTER_IMPLIED,ENV_MINING,TAX_ETHNICITY,EDUCATION",2016/4/8,,0,,0,
2016/2/8,-0.791556728,"SCIENCE,EDUCATION,EXTREMISM",2016/4/11,,0,,0,
2016/2/10,-4.600484262,"MANMADE_DISASTER_IMPLIED,BAN",2016/4/12,,0.03003003,,0.031948882,
2016/2/10,-6.216216216,"MANMADE_DISASTER_IMPLIED,BAN",2016/4/13,,0,,0,
2016/2/10,-3.172413793,"MANMADE_DISASTER_IMPLIED,LEGISLATION,BAN,GENERAL_GOVERNMENT,SOVEREIGNTY",2016/4/14,,0,,0,
2016/2/10,-2.62295082,"BAN,GENERAL_GOVERNMENT,LEGISLATION",2016/4/15,,0,,0,
2016/2/11,-6.116207951,"BAN,MANMADE_DISASTER_IMPLIED,LEGISLATION,KILL",2016/4/18,,0,,0,
2016/2/11,-4.118993135,"MANMADE_DISASTER_IMPLIED,BAN",2016/4/19,,0,,0,
2016/2/12,-1.657940663,"ENV_OIL,TAX_ETHNICITY,ECON_INTEREST_RATES,TAX_FOODSTAPLES,ECON_STOCKMARKET,MANMADE_DISASTER_IMPLIED,ENV_COAL,ECON_DEBT,NATURAL_DISASTER,ENV_MINING,DELAY,TRIAL",2016/4/20,,0.029154519,,0.030959752,
2016/2/13,0,"BAN,GENERAL_GOVERNMENT",2016/4/21,,0,,0,
2016/2/16,0.929512006,"ENV_MINING,TAX_ETHNICITY,ECON_STOCKMARKET,LEGISLATION",2016/4/22,,0,,0,
2016/2/16,0,ENV_MINING,2016/4/25,,0,,0,
2016/2/16,0.692041522,"ENV_OIL,TAX_ETHNICITY,ECON_INTEREST_RATES,ECON_STOCKMARKET,MANMADE_DISASTER_IMPLIED",2016/4/26,,0,,0,
2016/2/18,-0.110497238,"ENV_MINING,ENV_COAL,ECON_STOCKMARKET,PUBLIC_TRANSPORT,TAX_ETHNICITY",2016/4/27,,0,,0,
2016/2/18,-0.221238938,"ENV_MINING,ENV_COAL,ECON_STOCKMARKET,PUBLIC_TRANSPORT,TAX_ETHNICITY",2016/4/28,,0,,0,
2016/2/18,1.489203276,"MANMADE_DISASTER_IMPLIED,SLFID_MINERAL_RESOURCES,TAX_ETHNICITY,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2016/4/29,,0,,0,
2016/2/18,0.225988701,"ENV_GREEN,ENV_OIL,ECON_STOCKMARKET,GENERAL_HEALTH,MEDICAL,TAX_ETHNICITY,GENERAL_GOVERNMENT,ENV_MINING",2016/5/3,,0,,0,
2016/2/18,0.115606936,"ENV_GREEN,ENV_OIL,ECON_STOCKMARKET,GENERAL_HEALTH,MEDICAL,TAX_ETHNICITY,GENERAL_GOVERNMENT,ENV_MINING,SLFID_NATURAL_RESOURCES",2016/5/4,,0,,0,
2016/2/18,-0.119331742,"ENV_GREEN,ENV_OIL,ECON_STOCKMARKET,GENERAL_HEALTH,MEDICAL,TAX_ETHNICITY,GENERAL_GOVERNMENT,ENV_MINING",2016/5/5,,-0.023880597,,0,
2016/2/18,-1.785714286,TAX_ETHNICITY,2016/5/6,,0,,0,
2016/2/19,-0.319829424,"ENV_MINING,ENV_COAL,ECON_STOCKMARKET,PUBLIC_TRANSPORT,TAX_ETHNICITY",2016/5/9,,0,,0,
2016/2/19,-0.305810398,"ENV_MINING,ENV_COAL,ECON_STOCKMARKET,PUBLIC_TRANSPORT,TAX_ETHNICITY",2016/5/10,,0,,0,
2016/2/19,1.041666667,"ECON_STOCKMARKET,TAX_ETHNICITY,MANMADE_DISASTER_IMPLIED,ENV_MINING",2016/5/11,,0,,0,
2016/2/21,-3.971547125,"MANMADE_DISASTER_IMPLIED,GENERAL_GOVERNMENT,KILL,SELF_IDENTIFIED_ATROCITY,TERROR,ARMEDCONFLICT,ECON_ENTREPRENEURSHIP,TRIAL,CRIME_CARTELS,ORGANIZED_CRIME,ELECTION,BORDER,ARREST,CORRUPTION,WHISTLEBLOWER,CYBER_ATTACK,BLOCKADE,SEIGE,ECON_MONOPOLY,ENV_GREEN,SOC_GENERALCRIME,DELAY,MARITIME_INCIDENT,MARITIME,LEGISLATION,SECURITY_SERVICES,ENV_SOLAR",2016/5/12,,-0.015151515,,0,
2016/2/21,0.254452926,"ENV_MINING,TAX_ETHNICITY,PUBLIC_TRANSPORT,ECON_SUBSIDIES",2016/5/13,,0,,0,
2016/2/21,-0.316455696,"ENV_MINING,ENV_COAL,ECON_STOCKMARKET,PUBLIC_TRANSPORT,TAX_ETHNICITY",2016/5/16,,0,,0,
2016/2/22,-0.317460317,"ENV_MINING,ENV_COAL,ECON_STOCKMARKET,PUBLIC_TRANSPORT,TAX_ETHNICITY",2016/5/17,,0,,0,
2016/2/22,0.835073069,"KILL,SLFID_NATURAL_RESOURCES,ECON_STOCKMARKET,ENV_OIL,ENV_NATURALGAS",2016/5/18,,0,,0,
2016/2/22,0,"SLFID_NATURAL_RESOURCES,ECON_STOCKMARKET",2016/5/19,,0,,0,
2016/2/23,-3.916449086,"MANMADE_DISASTER_IMPLIED,BAN,MANMADE_DISASTER",2016/5/20,,0,,0,
2016/2/23,-3.588516746,"BAN,ECON_STOCKMARKET,DELAY",2016/5/23,,0,,0,
2016/2/24,1.052631579,BAN,2016/5/24,,0,,0,
2016/2/24,-4.984423676,"BAN,MANMADE_DISASTER_IMPLIED,TAX_ETHNICITY,KILL,MARITIME_INCIDENT,MARITIME,GENERAL_HEALTH,MEDICAL",2016/5/25,,-0.012269939,,-0.012539185,
2016/2/24,-2.403846154,BAN,2016/5/26,,0,,0,
2016/2/24,-3.333333333,BAN,2016/5/27,,0,,0,
2016/2/24,2.01793722,"SHORTAGE,ECON_STOCKMARKET,ECON_DEBT,GENERAL_HEALTH",2016/5/30,,0,,0,
2016/2/25,-2.601156069,"GENERAL_HEALTH,MEDICAL,EDUCATION,TAX_ETHNICITY,DRUG_TRADE",2016/5/31,,0,,0,
2016/2/25,-5.103042198,MANMADE_DISASTER_IMPLIED,2016/6/1,,0,,0,
2016/2/25,-0.227272727,"ENV_OIL,SHORTAGE,ENV_MINING,ENV_NATURALGAS",2016/6/2,,0,,0,
2016/2/26,0,"NEGOTIATIONS,TAX_ETHNICITY,ECON_STOCKMARKET,ECON_TAXATION",2016/6/3,,0,,0,
2016/2/26,0.833333333,"ENV_MINING,EDUCATION,RETIREMENTS,RETIREMENT,ENV_COAL",2016/6/6,,0,,0,
2016/2/26,-3.486924035,"BAN,MANMADE_DISASTER_IMPLIED,MARITIME_INCIDENT,MARITIME,KILL,GENERAL_HEALTH,MEDICAL,LEGISLATION,GENERAL_GOVERNMENT,RATIFY,TAX_ETHNICITY,ECON_STOCKMARKET,DELAY",2016/6/7,,0,,0,
2016/2/26,0.215982721,"MANMADE_DISASTER_IMPLIED,GENERAL_GOVERNMENT,TAX_ETHNICITY,ENV_MINING,AGRICULTURE,ECON_ENTREPRENEURSHIP,ENV_GREEN",2016/6/8,,0,,0,
2016/2/29,-1.671309192,NATURAL_DISASTER,2016/6/13,,0,,0,
2016/3/1,2.127659574,ENV_GREEN,2016/6/14,,0,,,
2016/3/1,4.705882353,"ECON_STOCKMARKET,ENV_GREEN",2016/6/15,,0,,,
2016/3/1,2.375809935,"ECON_STOCKMARKET,ENV_GREEN",2016/6/16,,0,,,
2016/3/1,0.300842359,"MANMADE_DISASTER_IMPLIED,ARMEDCONFLICT,TAX_ETHNICITY,ENV_OIL,ECON_CURRENCY_RESERVES,GOV_REPATRIATION,ECON_STOCKMARKET,CORRUPTION,ECON_TAXATION",2016/6/17,,0,,,
2016/3/1,-0.996677741,ENV_MINING,2016/6/20,,0,,,
2016/3/2,1.062959935,"MANMADE_DISASTER_IMPLIED,ECON_STOCKMARKET,SLFID_MINERAL_RESOURCES,TAX_ETHNICITY,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2016/6/21,,0,,,
2016/3/2,0.935251799,"MANMADE_DISASTER_IMPLIED,ECON_STOCKMARKET,SLFID_MINERAL_RESOURCES,TAX_ETHNICITY,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2016/6/22,,0,,,
2016/3/2,1.426533524,"ECON_STOCKMARKET,ENV_MINING,TRAFFIC,TAX_ETHNICITY,ENV_OIL,ENV_NATURALGAS",2016/6/23,,0,,,
2016/3/2,1.101321586,"MANMADE_DISASTER_IMPLIED,ECON_STOCKMARKET,SLFID_MINERAL_RESOURCES,TAX_ETHNICITY,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2016/6/24,,-0.034920635,,,
2016/3/2,1.123595506,"MANMADE_DISASTER_IMPLIED,ECON_STOCKMARKET,SLFID_MINERAL_RESOURCES,TAX_ETHNICITY,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2016/6/27,,0,,,
2016/3/3,-1.013513514,SLFID_MINERAL_RESOURCES,2016/6/28,,0,,,
2016/3/3,1.478743068,"ECON_STOCKMARKET,SLFID_MINERAL_RESOURCES",2016/6/29,,0,,,
2016/3/3,1.317790167,"TAX_ETHNICITY,ENV_MINING,ELECTION,SLFID_MINERAL_RESOURCES,ECON_STOCKMARKET,SLFID_NATURAL_RESOURCES,LEGISLATION",2016/6/30,,0,,,
2016/3/3,1.329923274,"TAX_ETHNICITY,ENV_MINING,ELECTION,SLFID_MINERAL_RESOURCES,ECON_STOCKMARKET,SLFID_NATURAL_RESOURCES,LEGISLATION",2016/7/1,,0,,,
2016/3/3,1.358411703,"TAX_ETHNICITY,ENV_MINING,ELECTION,SLFID_MINERAL_RESOURCES,ECON_STOCKMARKET,SLFID_NATURAL_RESOURCES,LEGISLATION",2016/7/4,,0,,,
2016/3/3,1.454192923,"TAX_ETHNICITY,ENV_MINING,ELECTION,SLFID_MINERAL_RESOURCES,ECON_STOCKMARKET,SLFID_NATURAL_RESOURCES,LEGISLATION",2016/7/5,,0,,,
2016/3/3,1.46627566,"TAX_ETHNICITY,ENV_MINING,ELECTION,SLFID_MINERAL_RESOURCES,ECON_STOCKMARKET,SLFID_NATURAL_RESOURCES,LEGISLATION",2016/7/6,,-0.032786885,,,
2016/3/3,1.315123925,"TAX_ETHNICITY,ENV_MINING,ELECTION,SLFID_MINERAL_RESOURCES,ECON_STOCKMARKET,SLFID_NATURAL_RESOURCES,LEGISLATION",2016/7/7,,0,,,
2016/3/3,1.347150259,"TAX_ETHNICITY,ENV_MINING,ELECTION,SLFID_MINERAL_RESOURCES,ECON_STOCKMARKET,SLFID_NATURAL_RESOURCES,LEGISLATION",2016/7/8,,0,,,
2016/3/3,1.372756072,"TAX_ETHNICITY,ENV_MINING,ELECTION,ECON_TAXATION,SLFID_MINERAL_RESOURCES,ECON_STOCKMARKET,SLFID_NATURAL_RESOURCES,LEGISLATION",2017/3/22,,,,,1
2016/3/3,1.358411703,"TAX_ETHNICITY,ENV_MINING,ELECTION,SLFID_MINERAL_RESOURCES,ECON_STOCKMARKET,SLFID_NATURAL_RESOURCES,LEGISLATION",2017/3/23,,,,,0
2016/3/3,1.359832636,"TAX_ETHNICITY,ENV_MINING,ELECTION,ECON_TAXATION,SLFID_MINERAL_RESOURCES,ECON_STOCKMARKET,SLFID_NATURAL_RESOURCES,LEGISLATION",2017/3/27,,,,,0
2016/3/3,1.794453507,RATIFY,2017/3/28,,,,,0
2016/3/4,2.005174644,"MANMADE_DISASTER_IMPLIED,TAX_ETHNICITY,ELECTION,SLFID_MINERAL_RESOURCES,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2017/3/29,,,,,0
2016/3/4,1.933333333,"MANMADE_DISASTER_IMPLIED,TAX_ETHNICITY,ELECTION,SLFID_MINERAL_RESOURCES,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2017/3/30,,,,,0
2016/3/4,1.916721745,"MANMADE_DISASTER_IMPLIED,TAX_ETHNICITY,ELECTION,SLFID_MINERAL_RESOURCES,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2017/3/31,,,,,0
2016/3/4,2.01691607,"MANMADE_DISASTER_IMPLIED,TAX_ETHNICITY,ELECTION,SLFID_MINERAL_RESOURCES,LEGISLATION,ENV_MINING,DELAY,GENERAL_GOVERNMENT",2017/4/5,1,,1,,
2016/3/4,1.801801802,"TAX_ETHNICITY,ELECTION,LEGISLATION,SLFID_MINERAL_RESOURCES",2017/4/6,0,,0,,1
2016/3/4,1.783060921,"TAX_ETHNICITY,ELECTION,LEGISLATION,SLFID_MINERAL_RESOURCES",2017/4/10,0,,0,,0
2016/3/4,3.125,ECON_STOCKMARKET,2017/4/12,0,,0.015810277,,0
2016/3/4,1.741654572,"TAX_ETHNICITY,ELECTION,LEGISLATION,SLFID_MINERAL_RESOURCES",2017/4/13,0,,0,,0
2016/3/7,1.899827288,"TAX_ETHNICITY,GENERAL_GOVERNMENT,ENV_SOLAR,EDUCATION,ENV_COAL,ENV_MINING,SCIENCE,ENV_GREEN",2017/4/18,0,,0,,0
2016/3/7,-0.866738895,"MANMADE_DISASTER_IMPLIED,SHORTAGE,TAX_ETHNICITY,ENV_MINING",2017/4/20,0,,0,,0
2016/3/7,0.923787529,"NEGOTIATIONS,TAX_ETHNICITY",2017/4/21,0,,0,,0
2016/3/7,0.93676815,"NEGOTIATIONS,TAX_ETHNICITY",2017/4/27,,,,,0
2016/3/7,-0.280504909,TAX_ETHNICITY,2017/4/28,,,,,0
2016/3/7,1.985559567,RATIFY,2017/5/5,,,,,0
2016/3/8,0.561797753,"ENV_MINING,ENV_GREEN,ENV_CLIMATECHANGE,NEGOTIATIONS,PROPERTY_RIGHTS,ENV_GEOTHERMAL,NATURAL_DISASTER,EDUCATION,SLFID_NATURAL_RESOURCES,SLFID_MINERAL_RESOURCES,TAX_ETHNICITY,ARMEDCONFLICT",2017/5/10,1,,1,,0
2016/3/8,0.930232558,"NEGOTIATIONS,TAX_ETHNICITY",2017/5/11,0,,0,,0
2016/3/11,0.649350649,RATIFY,2017/5/12,0,,0,,0
2016/3/14,0.099700897,"NATURAL_DISASTER,KILL,MANMADE_DISASTER_IMPLIED,WATER_SECURITY,TAX_ETHNICITY",2017/5/15,0,,0,,0
