date,Ganfeng Lithium_Ganfeng Lithium,Ganfeng Lithium_isPartial,Tianqi Lithium_Tianqi Lithium,Tianqi Lithium_isPartial,Albemarle_Albemarle,Albemarle_isPartial,Lithium Americas_Lithium Americas,Lithium Americas_isPartial,Livent_Livent,Livent_isPartial,Standard Lithium_Standard Lithium,Standard Lithium_isPartial,SQM_SQM,SQM_isPartial
2023-04-01,37,False,51,False,77,False,35,False,46,False,18,False,85,False
2023-05-01,33,False,44,False,78,False,45,False,79,False,19,False,84,False
2023-06-01,32,False,26,False,83,False,35,False,59,False,21,False,83,False
2023-07-01,35,False,35,False,73,False,35,False,55,False,18,False,84,False
2023-08-01,32,False,49,False,82,False,38,False,52,False,18,False,86,False
2023-09-01,31,False,50,False,73,False,57,False,48,False,16,False,84,False
2023-10-01,30,False,48,False,77,False,63,False,50,False,19,False,83,False
2023-11-01,29,False,36,False,73,False,36,False,75,False,18,False,84,False
2023-12-01,30,False,41,False,69,False,33,False,67,False,16,False,76,False
2024-01-01,26,False,32,False,79,False,32,False,64,False,16,False,87,False
2024-02-01,34,False,48,False,85,False,39,False,26,False,14,False,99,False
2024-03-01,35,False,60,False,82,False,50,False,21,False,12,False,93,False
2024-04-01,34,False,59,False,77,False,37,False,18,False,10,False,94,False
2024-05-01,33,False,45,False,78,False,26,False,15,False,14,False,100,False
2024-06-01,31,False,59,False,78,False,27,False,13,False,10,False,91,False
2024-07-01,31,False,53,False,81,False,26,False,14,False,9,False,98,False
2024-08-01,25,True,40,True,83,True,24,True,13,True,9,True,91,True
